,Year,Month,Year_Month,Location,Latitude,Longitude,Drought / No Drought,Deep_Drainage,PET_Actual,E_Actual,Soil_M_root_zone,Qtot,Rainfall,ENSO,IOD,SAM,P_acc_3M,geom,address,postal_code,NRM_Sub_Cluster_name
0,2014,March,2014-03,Cobar,-31.498,145.8383,1,2.349609375,157.6796875,70.8671875,0.265625,0.5,57,0.54,-0.051,1.34,145.5,"-31.498,145.8383","John Mitchell Pharmacy, Marshall Street, Cobar, Cobar Shire Council, New South Wales, 2835, Australia",2835,['Rangelands (South)']
1,2014,February,2014-02,Cobar,-31.498,145.8383,1,1.896484375,203.6796875,28.4140625,0.146484375,2.3515625,84.1015625,-0.37,-0.009,0.36,119.5,"-31.498,145.8383","John Mitchell Pharmacy, Marshall Street, Cobar, Cobar Shire Council, New South Wales, 2835, Australia",2835,['Rangelands (South)']
2,2014,January,2014-01,Cobar,-31.498,145.8383,1,2.130859375,273.5703125,30.03125,0.08203125,0.078125,4.3984375,-1.26,-0.036,-0.13,37,"-31.498,145.8383","John Mitchell Pharmacy, Marshall Street, Cobar, Cobar Shire Council, New South Wales, 2835, Australia",2835,['Rangelands (South)']
3,2014,March,2014-03,Walgett,-30.0167,148.1167,1,0.298828125,176.7578125,27.703125,0.08203125,0.0546875,34,0.54,-0.051,1.34,68.203125,"-30.0167,148.1167","Montkeila Street, Walgett, Walgett Shire Council, New South Wales, 2832, Australia",2832,['Central Slopes']
4,2014,February,2014-02,Walgett,-30.0167,148.1167,1,0.271484375,203.7890625,7.8203125,0.0234375,0.015625,27,-0.37,-0.009,0.36,41,"-30.0167,148.1167","Montkeila Street, Walgett, Walgett Shire Council, New South Wales, 2832, Australia",2832,['Central Slopes']
5,2014,January,2014-01,Walgett,-30.0167,148.1167,1,0.30078125,275.5546875,14.703125,0.017578125,0,7.203125,-1.26,-0.036,-0.13,44.703125,"-30.0167,148.1167","Montkeila Street, Walgett, Walgett Shire Council, New South Wales, 2832, Australia",2832,['Central Slopes']
6,2014,March,2014-03,Coonamble,-30.95,148.4,1,0.100585938,164.6171875,64.7109375,0.169921875,0.3515625,76.6015625,0.54,-0.051,1.34,155.5078125,"-30.95,148.4","Baradine Road, Coonamble, Coonamble Shire Council, New South Wales, 2829, Australia",2829,['Central Slopes']
7,2014,February,2014-02,Coonamble,-30.95,148.4,1,0.090820313,196.9375,21.8125,0.073242188,0.2421875,60.703125,-0.37,-0.009,0.36,89.8046875,"-30.95,148.4","Baradine Road, Coonamble, Coonamble Shire Council, New South Wales, 2829, Australia",2829,['Central Slopes']
8,2014,January,2014-01,Coonamble,-30.95,148.4,1,0.100585938,265.6171875,15.890625,0.030273438,0.015625,18.203125,-1.26,-0.036,-0.13,36.1015625,"-30.95,148.4","Baradine Road, Coonamble, Coonamble Shire Council, New South Wales, 2829, Australia",2829,['Central Slopes']
9,2014,March,2014-03,Warren,-31.7,147.833,1,0.32421875,156.2578125,74.3828125,0.184570313,0.2109375,72,0.54,-0.051,1.34,149.6015625,"-31.7,147.833","Readford Street, Warren, Warren Shire Council, New South Wales, 2824, Australia",2824,['Central Slopes']
10,2014,February,2014-02,Warren,-31.7,147.833,1,0.29296875,195.71875,27.328125,0.095703125,0.5546875,59.8984375,-0.37,-0.009,0.36,101.5,"-31.7,147.833","Readford Street, Warren, Warren Shire Council, New South Wales, 2824, Australia",2824,['Central Slopes']
11,2014,January,2014-01,Warren,-31.7,147.833,1,0.325195313,268.5,20.84375,0.068359375,0.0390625,17.703125,-1.26,-0.036,-0.13,41.6015625,"-31.7,147.833","Readford Street, Warren, Warren Shire Council, New South Wales, 2824, Australia",2824,['Central Slopes']
12,2014,March,2014-03,Nyngan,-31.563,147.1962,1,0.831054688,155.9453125,73.7734375,0.224609375,0.453125,98.296875,0.54,-0.051,1.34,155.09375,"-31.563,147.1962","Nyngan Chemist, Pangee Street, Nyngan, Bogan Shire Council, New South Wales, 2825, Australia",2825,['Central Slopes']
13,2014,February,2014-02,Nyngan,-31.563,147.1962,1,0.75,193.6796875,25.609375,0.064453125,0.03125,37.5,-0.37,-0.009,0.36,86.6953125,"-31.563,147.1962","Nyngan Chemist, Pangee Street, Nyngan, Bogan Shire Council, New South Wales, 2825, Australia",2825,['Central Slopes']
14,2014,January,2014-01,Nyngan,-31.563,147.1962,1,0.8359375,269.8984375,25.453125,0.086914063,0.015625,19.296875,-1.26,-0.036,-0.13,52.9921875,"-31.563,147.1962","Nyngan Chemist, Pangee Street, Nyngan, Bogan Shire Council, New South Wales, 2825, Australia",2825,['Central Slopes']
15,2014,March,2014-03,Gilgandra,-31.7,148.6667,1,1.362304688,148.125,78.234375,0.252929688,0.1796875,76.6015625,0.54,-0.051,1.34,182.1015625,"-31.7,148.6667","Clark Street, Gilgandra, Gilgandra Shire Council, New South Wales, 2827, Australia",2827,['Central Slopes']
16,2014,February,2014-02,Gilgandra,-31.7,148.6667,1,1.213867188,188.0625,22.9375,0.122070313,0.6484375,92.6015625,-0.37,-0.009,0.36,124.6015625,"-31.7,148.6667","Clark Street, Gilgandra, Gilgandra Shire Council, New South Wales, 2827, Australia",2827,['Central Slopes']
17,2014,January,2014-01,Gilgandra,-31.7,148.6667,1,1.360351563,259.875,19.0390625,0.037109375,0,12.8984375,-1.26,-0.036,-0.13,41.203125,"-31.7,148.6667","Clark Street, Gilgandra, Gilgandra Shire Council, New South Wales, 2827, Australia",2827,['Central Slopes']
